,model_names,training_method,balance,sampling_size,sort_by_time,partition_ratio,seed_size,unlabeled_size,test_size,accuracy,f1_micro,f1_macro,f1_weighted,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted
1,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,True,0,True,"[0.1, 0.45, 0.45]",39,186,192,0.2822,0.2822,0.23819999999999997,0.23819999999999997,0.2822,0.2944,0.2944,0.2822,0.2822,0.2822
2,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,True,0,True,"[0.5, 0.25, 0.25]",207,102,108,0.5206000000000001,0.5206000000000001,0.4974,0.4974,0.5206000000000001,0.5202,0.5202,0.5206000000000001,0.5206000000000001,0.5206000000000001
3,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,True,0,True,"[0.9, 0.05, 0.05]",375,18,24,0.542,0.542,0.5294000000000001,0.5294000000000001,0.542,0.5404,0.5404,0.542,0.542,0.542
4,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,True,0,False,"[0.1, 0.45, 0.45]",39,186,192,0.45859999999999995,0.45859999999999995,0.4104,0.4104,0.45859999999999995,0.6052000000000001,0.6052000000000001,0.45859999999999995,0.45859999999999995,0.45859999999999995
5,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,True,0,False,"[0.5, 0.25, 0.25]",207,102,108,0.5262,0.5262,0.49660000000000004,0.49660000000000004,0.5262,0.4852,0.4852,0.5262,0.5262,0.5262
6,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,True,0,False,"[0.9, 0.05, 0.05]",375,18,24,0.4418,0.4418,0.4194,0.4194,0.4418,0.592,0.592,0.4418,0.4418,0.4418
7,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,True,200,True,"[0.1, 0.45, 0.45]",39,186,192,0.5134000000000001,0.5134000000000001,0.4894,0.4894,0.5134000000000001,0.5192,0.5192,0.5134000000000001,0.5134000000000001,0.5134000000000001
8,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,True,200,True,"[0.5, 0.25, 0.25]",207,102,108,0.5519999999999999,0.5519999999999999,0.5212,0.5212,0.5519999999999999,0.539,0.539,0.5519999999999999,0.5519999999999999,0.5519999999999999
9,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,True,200,True,"[0.9, 0.05, 0.05]",375,18,24,0.6,0.6,0.593,0.593,0.6,0.6936,0.6936,0.6,0.6,0.6
10,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,True,200,False,"[0.1, 0.45, 0.45]",39,186,192,0.5606,0.5606,0.535,0.535,0.5606,0.5668,0.5668,0.5606,0.5606,0.5606
11,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,True,200,False,"[0.5, 0.25, 0.25]",207,102,108,0.5926,0.5926,0.5528,0.5528,0.5926,0.5758,0.5758,0.5926,0.5926,0.5926
12,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,True,200,False,"[0.9, 0.05, 0.05]",375,18,24,0.65,0.65,0.6404000000000001,0.6404000000000001,0.65,0.665,0.665,0.65,0.65,0.65
13,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,True,400,True,"[0.1, 0.45, 0.45]",39,186,192,0.529,0.529,0.5164,0.5164,0.529,0.5302,0.5302,0.529,0.529,0.529
14,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,True,400,True,"[0.5, 0.25, 0.25]",207,102,108,0.5928,0.5928,0.5702,0.5702,0.5928,0.5714,0.5714,0.5928,0.5928,0.5928
15,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,True,400,True,"[0.9, 0.05, 0.05]",375,18,24,0.5833999999999999,0.5833999999999999,0.5843999999999999,0.5843999999999999,0.5833999999999999,0.5997999999999999,0.5997999999999999,0.5833999999999999,0.5833999999999999,0.5833999999999999
16,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,True,400,False,"[0.1, 0.45, 0.45]",39,186,192,0.6104,0.6104,0.5984,0.5984,0.6104,0.6058,0.6058,0.6104,0.6104,0.6104
17,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,True,400,False,"[0.5, 0.25, 0.25]",207,102,108,0.6002,0.6002,0.567,0.567,0.6002,0.5902000000000001,0.5902000000000001,0.6002,0.6002,0.6002
18,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,True,400,False,"[0.9, 0.05, 0.05]",375,18,24,0.5916,0.5916,0.5878,0.5878,0.5916,0.6072,0.6072,0.5916,0.5916,0.5916
19,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,True,600,True,"[0.1, 0.45, 0.45]",39,186,192,0.5478000000000001,0.5478000000000001,0.5382,0.5382,0.5478000000000001,0.5478,0.5478,0.5478000000000001,0.5478000000000001,0.5478000000000001
20,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,True,600,True,"[0.5, 0.25, 0.25]",207,102,108,0.5984,0.5984,0.5793999999999999,0.5793999999999999,0.5984,0.5835999999999999,0.5835999999999999,0.5984,0.5984,0.5984
21,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,True,600,True,"[0.9, 0.05, 0.05]",375,18,24,0.575,0.575,0.5788,0.5788,0.575,0.5968000000000001,0.5968000000000001,0.575,0.575,0.575
22,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,True,600,False,"[0.1, 0.45, 0.45]",39,186,192,0.6156,0.6156,0.6086,0.6086,0.6156,0.6096,0.6096,0.6156,0.6156,0.6156
23,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,True,600,False,"[0.5, 0.25, 0.25]",207,102,108,0.5706,0.5706,0.5353999999999999,0.5353999999999999,0.5706,0.5484,0.5484,0.5706,0.5706,0.5706
24,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,True,600,False,"[0.9, 0.05, 0.05]",375,18,24,0.525,0.525,0.5198,0.5198,0.525,0.5778000000000001,0.5778000000000001,0.525,0.525,0.525
25,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,0,True,"[0.1, 0.45, 0.45]",735,3312,3318,0.9578000000000001,0.9578000000000001,0.326,0.9377999999999999,0.9578000000000001,0.319,0.9188000000000001,0.9578000000000001,0.333,0.9578000000000001
26,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,0,True,"[0.5, 0.25, 0.25]",3682,1840,1843,0.959,0.959,0.342,0.9389999999999998,0.959,0.653,0.9410000000000001,0.959,0.341,0.959
27,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,0,True,"[0.9, 0.05, 0.05]",6627,367,371,0.954,0.954,0.326,0.932,0.954,0.318,0.9099999999999999,0.954,0.333,0.954
28,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,0,False,"[0.1, 0.45, 0.45]",735,3312,3318,0.958,0.958,0.3278,0.9381999999999999,0.958,0.3524,0.9212,0.958,0.334,0.958
29,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,0,False,"[0.5, 0.25, 0.25]",3682,1840,1843,0.959,0.959,0.342,0.9389999999999998,0.959,0.653,0.9410000000000001,0.959,0.341,0.959
30,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,0,False,"[0.9, 0.05, 0.05]",6627,367,371,0.954,0.954,0.326,0.932,0.954,0.318,0.9099999999999999,0.954,0.333,0.954
31,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,200,True,"[0.1, 0.45, 0.45]",735,3312,3318,0.9578,0.9578,0.3296,0.9378,0.9578,0.3992,0.9238,0.9578,0.3348,0.9578
32,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,200,True,"[0.5, 0.25, 0.25]",3682,1840,1843,0.959,0.959,0.342,0.9389999999999998,0.959,0.653,0.9410000000000001,0.959,0.341,0.959
33,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,200,True,"[0.9, 0.05, 0.05]",6627,367,371,0.954,0.954,0.326,0.932,0.954,0.318,0.9099999999999999,0.954,0.333,0.954
34,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,200,False,"[0.1, 0.45, 0.45]",735,3312,3318,0.9578,0.9578,0.3294,0.9381999999999999,0.9578,0.3636,0.9218,0.9578,0.33480000000000004,0.9578
35,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,200,False,"[0.5, 0.25, 0.25]",3682,1840,1843,0.959,0.959,0.342,0.9389999999999998,0.959,0.653,0.9410000000000001,0.959,0.341,0.959
36,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,200,False,"[0.9, 0.05, 0.05]",6627,367,371,0.954,0.954,0.326,0.932,0.954,0.318,0.9099999999999999,0.954,0.333,0.954
37,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,400,True,"[0.1, 0.45, 0.45]",735,3312,3318,0.9583999999999999,0.9583999999999999,0.33140000000000003,0.9384,0.9583999999999999,0.4304,0.9264000000000001,0.9583999999999999,0.33580000000000004,0.9583999999999999
38,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,400,True,"[0.5, 0.25, 0.25]",3682,1840,1843,0.9583999999999999,0.9583999999999999,0.33240000000000003,0.9383999999999999,0.9583999999999999,0.4526,0.9272,0.9583999999999999,0.3362,0.9583999999999999
39,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,400,True,"[0.9, 0.05, 0.05]",6627,367,371,0.954,0.954,0.326,0.932,0.954,0.318,0.9099999999999999,0.954,0.333,0.954
40,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,400,False,"[0.1, 0.45, 0.45]",735,3312,3318,0.958,0.958,0.3294,0.9381999999999999,0.958,0.3524,0.9212,0.958,0.33480000000000004,0.958
41,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,400,False,"[0.5, 0.25, 0.25]",3682,1840,1843,0.9586,0.9586,0.3356,0.9385999999999999,0.9586,0.5194,0.9318,0.9586,0.3378,0.9586
42,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,400,False,"[0.9, 0.05, 0.05]",6627,367,371,0.954,0.954,0.326,0.932,0.954,0.318,0.9099999999999999,0.954,0.333,0.954
43,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,600,True,"[0.1, 0.45, 0.45]",735,3312,3318,0.9578,0.9578,0.3396,0.9385999999999999,0.9578,0.4224,0.9256,0.9578,0.3404,0.9578
44,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,600,True,"[0.5, 0.25, 0.25]",3682,1840,1843,0.9581999999999999,0.9581999999999999,0.32920000000000005,0.9381999999999999,0.9581999999999999,0.38580000000000003,0.9226000000000001,0.9581999999999999,0.3346,0.9581999999999999
45,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,600,True,"[0.9, 0.05, 0.05]",6627,367,371,0.954,0.954,0.326,0.932,0.954,0.318,0.9099999999999999,0.954,0.333,0.954
46,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,600,False,"[0.1, 0.45, 0.45]",735,3312,3318,0.9581999999999999,0.9581999999999999,0.33840000000000003,0.9385999999999999,0.9581999999999999,0.4640000000000001,0.9284000000000001,0.9581999999999999,0.3396,0.9581999999999999
47,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,600,False,"[0.5, 0.25, 0.25]",3682,1840,1843,0.9586,0.9586,0.3356,0.9385999999999999,0.9586,0.5194,0.9318,0.9586,0.3378,0.9586
48,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,600,False,"[0.9, 0.05, 0.05]",6627,367,371,0.954,0.954,0.326,0.932,0.954,0.318,0.9099999999999999,0.954,0.333,0.954
49,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,0,True,"[0.1, 0.45, 0.45]",39,186,192,0.2822,0.2822,0.23360000000000003,0.23360000000000003,0.2822,0.2894,0.2894,0.2822,0.2822,0.2822
50,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,0,True,"[0.5, 0.25, 0.25]",207,102,108,0.5188,0.5188,0.4958,0.4958,0.5188,0.5108,0.5108,0.5188,0.5188,0.5188
51,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,0,True,"[0.9, 0.05, 0.05]",375,18,24,0.5332,0.5332,0.5178,0.5178,0.5332,0.5391999999999999,0.5391999999999999,0.5332,0.5332,0.5332
52,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,0,False,"[0.1, 0.45, 0.45]",39,186,192,0.4574,0.4574,0.40780000000000005,0.40780000000000005,0.4574,0.6028,0.6028,0.4574,0.4574,0.4574
53,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,0,False,"[0.5, 0.25, 0.25]",207,102,108,0.5242,0.5242,0.4986,0.4986,0.5242,0.48980000000000007,0.48980000000000007,0.5242,0.5242,0.5242
54,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,0,False,"[0.9, 0.05, 0.05]",375,18,24,0.45,0.45,0.42860000000000004,0.42860000000000004,0.45,0.5814,0.5814,0.45,0.45,0.45
55,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,200,True,"[0.1, 0.45, 0.45]",39,186,192,0.5084000000000001,0.5084000000000001,0.4826,0.4826,0.5084000000000001,0.507,0.507,0.5084000000000001,0.5084000000000001,0.5084000000000001
56,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,200,True,"[0.5, 0.25, 0.25]",207,102,108,0.5851999999999999,0.5851999999999999,0.5576000000000001,0.5576000000000001,0.5851999999999999,0.5708,0.5708,0.5851999999999999,0.5851999999999999,0.5851999999999999
57,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,200,True,"[0.9, 0.05, 0.05]",375,18,24,0.5332000000000001,0.5332000000000001,0.5292,0.5292,0.5332000000000001,0.5594,0.5594,0.5332000000000001,0.5332000000000001,0.5332000000000001
58,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,200,False,"[0.1, 0.45, 0.45]",39,186,192,0.593,0.593,0.5741999999999999,0.5741999999999999,0.593,0.5826,0.5826,0.593,0.593,0.593
59,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,200,False,"[0.5, 0.25, 0.25]",207,102,108,0.5795999999999999,0.5795999999999999,0.5542,0.5542,0.5795999999999999,0.558,0.558,0.5795999999999999,0.5795999999999999,0.5795999999999999
60,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,200,False,"[0.9, 0.05, 0.05]",375,18,24,0.43339999999999995,0.43339999999999995,0.4104,0.4104,0.43339999999999995,0.43899999999999995,0.43899999999999995,0.43339999999999995,0.43339999999999995,0.43339999999999995
61,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,400,True,"[0.1, 0.45, 0.45]",39,186,192,0.521,0.521,0.4948,0.4948,0.521,0.5246000000000001,0.5246000000000001,0.521,0.521,0.521
62,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,400,True,"[0.5, 0.25, 0.25]",207,102,108,0.5721999999999999,0.5721999999999999,0.5508000000000001,0.5508000000000001,0.5721999999999999,0.5614,0.5614,0.5721999999999999,0.5721999999999999,0.5721999999999999
63,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,400,True,"[0.9, 0.05, 0.05]",375,18,24,0.5584,0.5584,0.5561999999999999,0.5561999999999999,0.5584,0.5944,0.5944,0.5584,0.5584,0.5584
64,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,400,False,"[0.1, 0.45, 0.45]",39,186,192,0.6135999999999999,0.6135999999999999,0.5936,0.5936,0.6135999999999999,0.599,0.599,0.6135999999999999,0.6135999999999999,0.6135999999999999
65,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,400,False,"[0.5, 0.25, 0.25]",207,102,108,0.5704,0.5704,0.5486,0.5486,0.5704,0.55,0.55,0.5704,0.5704,0.5704
66,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,400,False,"[0.9, 0.05, 0.05]",375,18,24,0.44160000000000005,0.44160000000000005,0.4162,0.4162,0.44160000000000005,0.4596,0.4596,0.44160000000000005,0.44160000000000005,0.44160000000000005
67,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,600,True,"[0.1, 0.45, 0.45]",39,186,192,0.5084,0.5084,0.4854,0.4854,0.5084,0.511,0.511,0.5084,0.5084,0.5084
68,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,600,True,"[0.5, 0.25, 0.25]",207,102,108,0.5519999999999999,0.5519999999999999,0.5244000000000001,0.5244000000000001,0.5519999999999999,0.5347999999999999,0.5347999999999999,0.5519999999999999,0.5519999999999999,0.5519999999999999
69,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,600,True,"[0.9, 0.05, 0.05]",375,18,24,0.5416000000000001,0.5416000000000001,0.5424,0.5424,0.5416000000000001,0.5676,0.5676,0.5416000000000001,0.5416000000000001,0.5416000000000001
70,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,600,False,"[0.1, 0.45, 0.45]",39,186,192,0.6032,0.6032,0.5841999999999999,0.5841999999999999,0.6032,0.5936,0.5936,0.6032,0.6032,0.6032
71,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,600,False,"[0.5, 0.25, 0.25]",207,102,108,0.5482,0.5482,0.5269999999999999,0.5269999999999999,0.5482,0.5232,0.5232,0.5482,0.5482,0.5482
72,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,True,600,False,"[0.9, 0.05, 0.05]",375,18,24,0.44160000000000005,0.44160000000000005,0.418,0.418,0.44160000000000005,0.45999999999999996,0.45999999999999996,0.44160000000000005,0.44160000000000005,0.44160000000000005
73,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,0,True,"[0.1, 0.45, 0.45]",735,3312,3318,0.9578,0.9578,0.3276,0.938,0.9578,0.32859999999999995,0.9196000000000002,0.9578,0.3338,0.9578
74,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,0,True,"[0.5, 0.25, 0.25]",3682,1840,1843,0.959,0.959,0.342,0.9389999999999998,0.959,0.653,0.9410000000000001,0.959,0.341,0.959
75,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,0,True,"[0.9, 0.05, 0.05]",6627,367,371,0.954,0.954,0.326,0.932,0.954,0.318,0.9099999999999999,0.954,0.333,0.954
76,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,0,False,"[0.1, 0.45, 0.45]",735,3312,3318,0.9578,0.9578,0.3296,0.9377999999999999,0.9578,0.3492,0.9206,0.9578,0.3348,0.9578
77,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,0,False,"[0.5, 0.25, 0.25]",3682,1840,1843,0.959,0.959,0.342,0.9389999999999998,0.959,0.653,0.9410000000000001,0.959,0.341,0.959
78,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,0,False,"[0.9, 0.05, 0.05]",6627,367,371,0.954,0.954,0.326,0.932,0.954,0.318,0.9099999999999999,0.954,0.333,0.954
79,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,200,True,"[0.1, 0.45, 0.45]",735,3312,3318,0.9582,0.9582,0.32780000000000004,0.9381999999999999,0.9582,0.3858,0.9234,0.9582,0.33399999999999996,0.9582
80,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,200,True,"[0.5, 0.25, 0.25]",3682,1840,1843,0.959,0.959,0.342,0.9389999999999998,0.959,0.6196,0.9388,0.959,0.341,0.959
81,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,200,True,"[0.9, 0.05, 0.05]",6627,367,371,0.954,0.954,0.326,0.932,0.954,0.318,0.9099999999999999,0.954,0.333,0.954
82,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,200,False,"[0.1, 0.45, 0.45]",735,3312,3318,0.9578,0.9578,0.326,0.9377999999999999,0.9578,0.319,0.9188000000000001,0.9578,0.333,0.9578
83,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,200,False,"[0.5, 0.25, 0.25]",3682,1840,1843,0.959,0.959,0.342,0.9389999999999998,0.959,0.653,0.9410000000000001,0.959,0.341,0.959
84,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,200,False,"[0.9, 0.05, 0.05]",6627,367,371,0.954,0.954,0.326,0.932,0.954,0.318,0.9099999999999999,0.954,0.333,0.954
85,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,400,True,"[0.1, 0.45, 0.45]",735,3312,3318,0.958,0.958,0.3296,0.9381999999999998,0.958,0.37479999999999997,0.9226000000000001,0.958,0.335,0.958
86,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,400,True,"[0.5, 0.25, 0.25]",3682,1840,1843,0.9586,0.9586,0.3356,0.9385999999999999,0.9586,0.5194,0.9318,0.9586,0.3378,0.9586
87,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,400,True,"[0.9, 0.05, 0.05]",6627,367,371,0.954,0.954,0.326,0.932,0.954,0.318,0.9099999999999999,0.954,0.333,0.954
88,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,400,False,"[0.1, 0.45, 0.45]",735,3312,3318,0.9581999999999999,0.9581999999999999,0.3278,0.9381999999999999,0.9581999999999999,0.38580000000000003,0.9234,0.9581999999999999,0.334,0.9581999999999999
89,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,400,False,"[0.5, 0.25, 0.25]",3682,1840,1843,0.9587999999999999,0.9587999999999999,0.33880000000000005,0.9388,0.9587999999999999,0.5862,0.9363999999999999,0.9587999999999999,0.33940000000000003,0.9587999999999999
90,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,400,False,"[0.9, 0.05, 0.05]",6627,367,371,0.954,0.954,0.326,0.932,0.954,0.318,0.9099999999999999,0.954,0.333,0.954
91,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,600,True,"[0.1, 0.45, 0.45]",735,3312,3318,0.958,0.958,0.33120000000000005,0.9383999999999999,0.958,0.3792,0.923,0.958,0.3358,0.958
92,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,600,True,"[0.5, 0.25, 0.25]",3682,1840,1843,0.9587999999999999,0.9587999999999999,0.33880000000000005,0.9388,0.9587999999999999,0.5862,0.9364000000000001,0.9587999999999999,0.33940000000000003,0.9587999999999999
93,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,600,True,"[0.9, 0.05, 0.05]",6627,367,371,0.954,0.954,0.326,0.932,0.954,0.318,0.9099999999999999,0.954,0.333,0.954
94,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,600,False,"[0.1, 0.45, 0.45]",735,3312,3318,0.9583999999999999,0.9583999999999999,0.33819999999999995,0.9390000000000001,0.9583999999999999,0.5084,0.9314,0.9583999999999999,0.3396,0.9583999999999999
95,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,600,False,"[0.5, 0.25, 0.25]",3682,1840,1843,0.9587999999999999,0.9587999999999999,0.33880000000000005,0.9388,0.9587999999999999,0.5862,0.9363999999999999,0.9587999999999999,0.33940000000000003,0.9587999999999999
96,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",active_learning,False,600,False,"[0.9, 0.05, 0.05]",6627,367,371,0.954,0.954,0.326,0.932,0.954,0.318,0.9099999999999999,0.954,0.333,0.954
